Misóviðeigandi orð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
rán	no	e	z		Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
ránsbrot	no	e	z		Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
refsilög	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
refsiverður	lo	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
rekstrarkostnaður	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
réttarhöld	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
réttlætisbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
ríkissaksóknari	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
safnaðarheimili	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	hk				"
"
sakargiftir	no	e	c		Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sakborningur	no	e	c		Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sakfella	so	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sakfelling	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
saksækja	so	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
samgönguráðherra	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
samningaviðræður	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kvk				"
"
samtalsbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sannleiksbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sektardómur	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sérrefsilagabrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
siðabrot	no	e	z		Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
siðferðisbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
sjávarútvegsráðherra	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
skarkoli	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
skilorðsbundinn	lo	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
skilorðsrof	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
skjalafals	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
skjalafalsbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
skrifstofustjóri	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
smáglæpur	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
smáþjófnaður	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
spillingarákæra	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
stjórnarandstaða	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kvk				"
"
stjórnarformaður	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
stjórnarskrá	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kvk				"
"
stórafbrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
stórglæpur	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
stýrivextir	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
sýknudómur	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
tékkasvik	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
tryggingafélag	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	hk				"
"
umboðssvikabrot	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
umhverfisráðherra	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
upplýsingafulltrúi	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
uppnefni	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.					"
"
uppreisnarmaður	no	e			Telst ekki óviðeigandi, hefur aðeins flókna merkingu og því verið síað frá þegar börn taka þátt í ýmsu máltæknitengdu.	kk				"
"
