n-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
lygamörður	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
lygari	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
manndjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
manndjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
mannhatari	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
mannhundur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
mannkerti	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
mannleysa	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
melur	no	n		skammaryrði / eyðsluseggur	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
mikilmennskubrjálæðingur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
minnipokamaður	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
misindismaður	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
Montrass	no	n		Drambsamur einstaklingur	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
munaðarseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nafnleysingi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
náriðill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nauðgunarbrandarakarl	no	n	a		Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
netníðingur	no	n	n		Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
níðingur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
niðurrifsseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nirfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nöldurseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nöldurseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nörd	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
nördi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
óeirðarseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
óeirðaseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
ofbeldishrotti	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
