z-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða - misóviðeigandi listinn	Annað tilfallandi	önnur merking (ekki óviðeigandi)
lyfjanauðgari 	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
lyfjanauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
makaofbeldi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannæta	no	z	n		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannát	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
manndráp	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
manndrápari	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
manndrápsákæra	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
manndrápsmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
manndrápstilraun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannorðsmorðingi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannrán	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannránsmál	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannshvarf	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mannsrán	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mansal	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
mansalsbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mansalsfórnarlamb	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
mansalsglæpur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
meinsæri	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
misnotkun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
misþyrma	so	z	s		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
misþyrming	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðæði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðákæra	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðalda	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðingi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðingjahendi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðsaga	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðsamsæri	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðstaður	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðtæki	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðtilræði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðtilraun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
morðvopn	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
múgmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
munaðarlaus	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
myrða	so	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
myrtur	lo	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðga	so	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðga	so	z	s y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgan	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
nauðgari	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
